Year,Affordable Home Ownership,Affordable Rent,First Homes,Intermediate Rent,London Affordable Rent,Shared Ownership,Social Rent,Unknown,All afforable
1991-92,3969.0,,,,,,25705.0,,29674.0
1992-93,8698.0,,,,,,57023.0,,65721.0
1993-94,14424.0,,,,,,48941.0,,63365.0
1994-95,15641.0,,,,,,52190.0,,67831.0
1995-96,17581.0,,,,,,56949.0,,74530.0
1996-97,14079.0,,,,,,42465.0,,56544.0
1997-98,11684.0,,,,,,35780.0,,47464.0
1998-99,8874.0,,,,,,33569.0,,42443.0
1999-00,6285.0,,,,,,28788.0,,35073.0
2000-01,6072.0,,,,,,27066.0,,33138.0
2001-02,6205.0,,,,,,26810.0,,33015.0
2002-03,8968.0,,,,,,23955.0,,32923.0
2003-04,15124.0,,,284.0,,,22661.0,,38069.0
2004-05,14283.0,,,1513.0,,,21674.0,,37470.0
2005-06,20200.0,,,1675.0,,,22970.0,,44845.0
2006-07,17774.0,,,1201.0,,,24176.0,,43151.0
2007-08,22299.0,,,1109.0,,,29505.0,,52913.0
2008-09,22963.0,,,1707.0,,,30901.0,,55571.0
2009-10,22244.0,,,2562.0,,,33491.0,,58297.0
2010-11,17004.0,,,4523.0,,,39562.0,,61089.0
2011-12,17468.0,1146.0,,2055.0,,,37677.0,,58346.0
2012-13,16976.0,7181.0,,1340.0,,,17580.0,,43077.0
2013-14,10940.0,19965.0,,1294.0,,,10924.0,,43123.0
2014-15,3507.0,40859.0,,1105.0,,11128.0,9331.0,,65930.0
2015-16,3486.0,16532.0,,1697.0,,4079.0,6781.0,,32575.0
2016-17,1966.0,24454.0,,938.0,,9021.0,5607.0,,41986.0
2017-18,1459.0,26934.0,,791.0,103.0,11048.0,7049.0,4.0,47388.0
2018-19,2460.0,28957.0,,1383.0,1002.0,17028.0,6363.0,33.0,57226.0
2019-20,2108.0,28259.0,,1748.0,1797.0,18239.0,6766.0,43.0,58960.0
2020-21,1134.0,23786.0,,2026.0,2102.0,16796.0,6051.0,28.0,51923.0
2021-22,1047.0,26398.0,35.0,1477.0,3101.0,19338.0,7659.0,42.0,59097.0
2022-23,1172.0,24547.0,1021.0,2701.0,4296.0,20517.0,9535.0,120.0,63909.0
